Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2018,"Bartolo Colon","TEX",139.1,599,4.8445,1.6148,3,1.9378,0.1252,0.0417,0.0835,0.287744227,1.3421,0.2833,0.6689,5.486411824755127,4.749911843841124,375
2018,"CC Sabathia","NYY",153,665,8.2353,3,2.7451,1.1176,0.2105,0.0767,0.1338,0.25,1.3137,0.295,0.7551,4.161052417755127,4.295442260207694,404
2018,"Marco Estrada","TOR",143.2,627,6.4524,3.1322,2.06,1.8167,0.1643,0.0797,0.0845,0.27385159,1.4269,0.2844,0.6971,5.437153977755127,5.79052960636435,1118
2018,"Edwin Jackson","OAK",92,381,6.6522,3.6196,1.8378,1.1739,0.1785,0.0971,0.0814,0.221238938,1.2174,0.2405,0.7922,4.650182851755127,4.8754308470889285,1841
2018,"Zack Greinke","ARI",207.2,839,8.6244,1.8636,4.6279,1.2135,0.2372,0.0513,0.1859,0.230867346,1.0787,0.2718,0.8019,3.705193581755127,3.4396335448603024,1943
2018,"Ivan Nova","PIT",161,683,6.3727,1.9565,3.2571,1.4534,0.1669,0.0512,0.1157,0.268025078,1.2795,0.2877,0.7373,4.570990305755127,4.277103705139634,1994
2018,"Clayton Kershaw","LAD",161.1,650,8.6467,1.6178,5.3448,0.9483,0.2385,0.0446,0.1938,0.227124183,1.0413,0.2729,0.7866,3.185845810755127,3.187807112216325,2036
2018,"Corey Kluber","CLE",215,842,9.293,1.4233,6.5294,1.0465,0.2637,0.0404,0.2233,0.223470661,0.9907,0.276,0.779,3.123843115755127,3.079463970037394,2429
2018,"Lance Lynn","2 Tms",149.1,671,9.1607,4.5201,2.0267,0.8438,0.2265,0.1118,0.1148,0.265306122,1.5469,0.3349,0.6946,3.9713204557551265,4.024461558808461,2520
2018,"Jhoulys Chacin","MIL",192.2,796,7.2872,3.3166,2.1972,0.8408,0.196,0.0892,0.1068,0.219512195,1.1626,0.25,0.7245,4.033024584755127,4.472964200834014,2608
2018,"Rick Porcello","BOS",191.1,808,8.9373,2.2578,3.9583,1.27,0.2351,0.0594,0.1757,0.240816326,1.176,0.2846,0.7087,4.012968941755127,3.870372537312367,2717
