"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Madison Bumgarner","Giants","0.46","-10.56","11.03","7.89","0.95","1.18","1.04","0.88","1.39","21","0.62","-0.23","0","0","5524"
"Felix Pena","Angels","0.32","-6.16","6.48","1.58","0.16","0.96","0.91","0.88","1.04","17","0.43","-0.09","0","0","13403"
"Carlos Rodon","White Sox","0.32","-9.60","9.92","1.33","0.22","1.07","0.95","0.88","1.27","20","0.63","-0.33","0","0","16137"
"Michael Wacha","Cardinals","0.31","-5.25","5.56","3.52","0.36","0.91","0.82","0.88","0.81","15","0.40","-0.05","0","0","14078"
"Ian Kennedy","Royals","0.25","-9.21","9.46","-2.60","-0.30","1.01","0.96","0.87","1.14","22","-0.14","0.38","0","0","6986"
"CC Sabathia","Yankees","0.18","-11.51","11.70","5.42","0.60","1.00","0.89","0.87","1.00","29","0.10","0.08","0","0","404"
"Stephen Strasburg","Nationals","0.14","-9.76","9.90","3.36","0.37","1.04","0.95","0.87","0.88","22","0.02","0.11","0","0","10131"
"Jakob Junis","Royals","0.11","-12.73","12.84","0.18","-0.02","0.94","0.93","0.87","1.10","29","-0.60","0.71","0","0","13619"
"Brett Anderson","Athletics","0.05","-5.57","5.62","-1.85","-0.25","0.93","0.87","0.87","0.95","17","0.05","0.01","0","0","8223"
"Matthew Boyd","Tigers","0.05","-11.66","11.71","0.57","0.02","0.91","0.90","0.87","1.18","31","0.76","-0.71","0","0","15440"
"Ivan Nova","White Sox","0.04","-11.69","11.73","-6.53","-0.67","0.97","0.91","0.88","1.06","29","-1.07","1.11","0","0","1994"
"Michael Fulmer","Tigers","-0.02","-9.95","9.93","-5.65","-0.50","0.98","0.91","0.88","0.95","24","-0.38","0.37","0","0","13218"
"Jake Odorizzi","Twins","-0.04","-13.15","13.11","-3.15","-0.33","1.04","0.97","0.87","1.42","32","-0.42","0.38","0","0","6397"
"Gio Gonzalez","Brewers","-0.10","-13.10","13.00","0.47","0.05","1.02","0.89","0.87","1.06","32","0.20","-0.30","0","0","7448"
"Trevor Cahill","Angels","-0.10","-7.72","7.62","1.55","0.20","0.99","0.91","0.87","1.26","20","0.64","-0.74","0","0","6249"
"Rick Porcello","Red Sox","-0.15","-13.82","13.68","4.85","0.45","0.96","0.87","0.87","1.04","32","1.20","-1.35","0","0","2717"
"Kenta Maeda","Dodgers","-0.15","-7.79","7.63","-1.14","-0.12","0.98","0.87","0.87","1.19","20","0.41","-0.56","0","0","18498"
"Rich Hill","Dodgers","-0.31","-8.89","8.58","4.90","0.47","0.89","0.84","0.88","0.69","23","0.36","-0.70","0","0","4806"
"Ryan Borucki","Blue Jays","-0.38","-8.55","8.17","2.06","0.28","1.13","1.00","0.88","0.98","17","0.40","-0.74","0","0","16350"
"Danny Duffy","Royals","-0.44","-12.19","11.75","-5.00","-0.41","1.00","0.90","0.85","0.93","28","-0.10","-0.34","0","0","3542"
"Joe Musgrove","Pirates","-0.44","-8.09","7.65","0.01","-0.07","0.94","0.84","0.88","0.59","19","0.40","-0.87","0","0","12970"
"Jake Arrieta","Phillies","-0.47","-12.81","12.34","-10.17","-1.13","0.94","0.88","0.87","1.14","31","-0.12","-0.38","0","0","4153"
"Jose Urena","Marlins","-0.50","-12.46","11.96","0.09","0.00","0.98","0.92","0.87","1.02","30","0.56","-1.07","0","0","11589"
"Trevor Richards","Marlins","-0.50","-9.63","9.13","-8.30","-0.90","0.97","0.90","0.87","1.33","25","-0.99","0.47","0","0","19309"
"David Hess","Orioles","-0.54","-8.07","7.54","-9.82","-0.96","0.96","0.93","0.88","1.13","19","-1.40","0.84","0","0","16130"
"Eric Lauer","Padres","-0.56","-9.26","8.70","-10.79","-1.11","1.01","0.90","0.88","1.08","23","-1.32","0.77","0","0","19316"
"Aaron Sanchez","Blue Jays","-0.68","-9.35","8.67","-8.70","-0.93","1.08","0.94","0.87","1.11","20","-0.71","0.08","0","0","11490"
"Matt Harvey","Angels","-0.69","-10.95","10.26","-8.44","-0.86","0.91","0.85","0.87","1.05","28","-0.31","-0.44","0","0","11713"
"Anthony DeSclafani","Reds","-0.73","-7.95","7.22","-6.74","-0.76","0.86","0.84","0.88","1.20","21","-0.58","-0.26","0","0","13050"
"Zach Eflin","Phillies","-0.77","-9.04","8.26","-6.61","-0.73","0.88","0.80","0.88","0.86","24","-0.86","-0.02","0","0","13774"
"Jason Vargas","Mets","-0.79","-7.18","6.40","-14.76","-1.51","0.92","0.88","0.86","1.02","20","-0.92","0.07","0","0","8044"
"Steven Matz","Mets","-0.79","-12.56","11.77","-6.43","-0.61","1.03","0.94","0.88","0.93","30","-1.21","0.45","0","0","13361"
"Luis Castillo","Reds","-0.79","-12.14","11.35","-7.49","-0.73","0.90","0.88","0.87","1.19","31","-0.29","-0.58","0","0","15689"
"Luke Weaver","Diamondbacks","-0.80","-9.21","8.41","-7.47","-0.78","0.91","0.83","0.87","0.97","25","-0.54","-0.34","0","0","16918"
"Chad Kuhl","Pirates","-0.80","-6.93","6.13","-8.51","-0.93","0.99","0.85","0.88","0.95","16","-1.39","0.58","0","0","14975"
"Dan Straily","Orioles","-0.80","-9.21","8.41","-6.35","-0.69","0.92","0.88","0.86","1.07","23","-1.49","0.61","0","0","9460"
"Joey Lucchesi","Padres","-0.85","-9.60","8.75","-3.34","-0.46","0.90","0.87","0.87","1.25","26","-1.18","0.23","0","0","19320"
"Tyler Mahle","Reds","-0.91","-9.18","8.27","-11.38","-1.14","0.97","0.86","0.87","1.01","23","-2.03","1.09","0","0","16358"
"Mike Leake","Mariners","-0.92","-14.86","13.94","-8.59","-1.01","0.98","0.89","0.87","1.03","31","-0.95","0.01","0","0","10130"
"Junior Guerra","Brewers","-0.94","-11.09","10.15","-7.32","-0.80","1.00","0.91","0.87","1.14","26","-1.26","0.31","0","0","5702"
"Brent Suter","Brewers","-0.95","-6.75","5.79","-3.79","-0.38","0.84","0.83","0.88","0.97","18","0.23","-1.37","0","0","13942"
"Wei-Yin Chen","Marlins","-0.99","-10.23","9.24","-15.50","-1.43","0.97","0.92","0.87","1.12","26","-0.89","-0.13","0","0","13071"
"Marcus Stroman","Blue Jays","-1.00","-8.68","7.68","-12.74","-1.25","1.00","0.89","0.86","0.77","19","-0.64","-0.36","0","0","13431"
"Vince Velasquez","Phillies","-1.10","-11.85","10.75","-12.36","-1.24","0.99","0.94","0.88","1.16","30","-0.48","-0.63","0","0","11189"
"Sonny Gray","Reds","-1.16","-9.38","8.22","-12.00","-1.16","0.97","0.85","0.87","1.07","23","-0.84","-0.35","0","0","12768"
"Zack Godley","Diamondbacks","-1.18","-15.26","14.09","-11.67","-1.28","1.09","0.92","0.87","1.11","32","-0.83","-0.25","0","0","14862"
"Lance Lynn","Rangers","-1.18","-13.79","12.61","-6.02","-0.71","1.09","0.94","0.88","1.14","29","-0.23","-0.85","0","0","2520"
"Tanner Roark","Reds","-1.30","-12.69","11.39","-2.96","-0.29","0.88","0.79","0.87","0.89","30","-0.44","-1.03","0","0","8753"
"Jon Gray","Rockies","-1.36","-14.16","12.80","-7.68","-0.89","0.99","0.89","0.88","1.02","31","0.22","-1.59","0","0","14916"
"Dylan Bundy","Orioles","-1.40","-13.77","12.37","-25.38","-2.53","0.91","0.86","0.86","0.95","30","-2.98","1.43","0","0","12917"
"Tyler Chatwood","Cubs","-1.46","-9.19","7.73","-11.91","-1.30","1.06","0.86","0.87","1.32","20","-1.31","-0.06","0","0","4338"
"Francisco Liriano","Pirates","-1.46","-10.95","9.49","-11.49","-1.12","0.97","0.91","0.88","1.22","26","-1.14","-0.36","0","0","3201"
"Dylan Covey","White Sox","-1.62","-9.47","7.84","-16.01","-1.56","0.97","0.87","0.88","1.12","21","-0.64","-1.03","0","0","14825"
"Chris Stratton","Angels","-1.70","-11.82","10.12","-16.23","-1.64","1.01","0.91","0.88","1.06","25","-1.16","-0.53","0","0","13761"
"Sam Gaviglio","Blue Jays","-1.90","-10.57","8.67","-17.13","-1.78","1.02","0.91","0.87","1.10","24","-1.74","-0.13","0","0","12778"
"Andrew Cashner","Orioles","-2.15","-14.25","12.10","-18.57","-1.83","1.05","0.94","0.88","1.09","28","-2.23","0.17","0","0","8782"
"Felix Hernandez","Mariners","-2.65","-12.63","9.98","-26.70","-2.75","0.91","0.86","0.88","1.21","28","-2.96","0.06","0","0","4772"
"Homer Bailey","Royals","-3.19","-9.99","6.80","-29.92","-3.18","0.87","0.81","0.87","0.73","19","-3.36","-0.32","0","0","8362"
