"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Hyun-Jin Ryu","Dodgers",".281","1.30","19.0 %","45.8 %","35.2 %","9.2 %","11.8 %","52","5.68","423","815","1238","44.3 %","31.1 %","24.7 %","20.1 %","46.1 %","33.8 %","14444"
"Homer Bailey","Royals",".327","1.29","24.4 %","42.6 %","33.0 %","7.3 %","18.7 %","30","2.54","595","1194","1789","41.4 %","36.5 %","22.1 %","15.6 %","43.5 %","40.9 %","8362"
"Tyler Skaggs","Angels",".328","1.29","21.4 %","44.2 %","34.4 %","9.8 %","11.5 %","59","4.24","777","1389","2166","44.0 %","29.8 %","26.2 %","13.1 %","46.8 %","40.1 %","10190"
"Stephen Strasburg","Nationals",".309","1.28","22.3 %","43.6 %","34.1 %","7.0 %","15.7 %","86","5.95","769","1392","2161","36.3 %","39.2 %","24.6 %","19.0 %","48.3 %","32.8 %","10131"
"Trevor Bauer","Indians",".301","1.27","21.0 %","44.1 %","34.9 %","11.2 %","6.3 %","97","5.10","1024","1778","2802","43.2 %","35.0 %","21.8 %","15.8 %","48.0 %","36.2 %","12703"
"CC Sabathia","Yankees",".295","1.26","20.3 %","44.4 %","35.3 %","12.3 %","11.7 %","102","6.00","855","1652","2507","44.3 %","34.6 %","21.2 %","25.1 %","46.4 %","28.5 %","404"
"Jose Quintana","Cubs",".282","1.26","22.4 %","43.2 %","34.3 %","7.6 %","14.7 %","94","4.85","1114","1794","2908","34.3 %","34.7 %","31.0 %","15.9 %","51.0 %","33.1 %","11423"
"Sean Manaea","Athletics",".247","1.26","21.1 %","44.0 %","35.0 %","9.4 %","12.3 %","84","4.71","768","1603","2371","40.5 %","34.0 %","25.5 %","15.8 %","46.6 %","37.6 %","15873"
"Zack Wheeler","Mets",".279","1.25","20.4 %","44.2 %","35.4 %","13.4 %","8.1 %","108","5.33","991","1892","2883","37.2 %","34.8 %","28.0 %","23.4 %","51.8 %","24.8 %","10310"
"Luis Severino","Yankees",".314","1.25","25.9 %","41.1 %","33.0 %","10.2 %","11.4 %","139","6.54","1036","2116","3152","35.6 %","35.8 %","28.7 %","19.5 %","45.4 %","35.2 %","15890"
"Rick Porcello","Red Sox",".285","1.23","20.2 %","44.1 %","35.7 %","9.2 %","13.8 %","142","6.68","1047","2049","3096","42.6 %","37.7 %","19.7 %","18.8 %","47.8 %","33.4 %","2717"
"Blake Snell","Rays",".241","1.23","18.8 %","44.7 %","36.4 %","6.7 %","10.7 %","108","5.38","1103","1815","2918","33.8 %","34.5 %","31.6 %","18.1 %","46.1 %","35.8 %","13543"
"Madison Bumgarner","Giants",".274","1.22","22.4 %","42.7 %","35.0 %","8.1 %","10.3 %","40","2.78","737","1316","2053","45.2 %","35.3 %","19.5 %","17.8 %","40.6 %","41.6 %","5524"
"Chris Sale","Red Sox",".283","1.22","19.6 %","44.2 %","36.2 %","15.3 %","9.3 %","100","5.70","811","1714","2525","38.9 %","30.7 %","30.4 %","27.4 %","46.1 %","26.5 %","10603"
"Anibal Sanchez","Nationals",".258","1.22","17.2 %","45.5 %","37.3 %","11.4 %","11.4 %","51","3.43","732","1340","2072","40.7 %","32.1 %","27.2 %","26.1 %","45.6 %","28.3 %","3284"
"Jhoulys Chacin","Brewers",".250","1.18","22.0 %","42.2 %","35.7 %","7.3 %","9.3 %","100","4.67","1112","1896","3008","43.6 %","34.8 %","21.7 %","18.1 %","45.3 %","36.6 %","2608"
"Luke Weaver","Diamondbacks",".315","1.18","22.0 %","42.2 %","35.8 %","15.0 %","11.4 %","69","4.80","810","1420","2230","34.5 %","36.0 %","29.5 %","17.5 %","47.8 %","34.8 %","16918"
"Clay Buchholz","Blue Jays",".255","1.17","20.9 %","42.6 %","36.5 %","6.8 %","8.7 %","57","5.22","460","959","1419","38.8 %","35.7 %","25.5 %","15.0 %","46.9 %","38.1 %","3543"
"Matt Harvey","Angels",".300","1.16","20.0 %","43.0 %","37.1 %","12.4 %","14.8 %","79","4.77","822","1609","2431","35.7 %","34.6 %","29.7 %","18.8 %","42.5 %","38.7 %","11713"
"Junior Guerra","Brewers",".314","1.15","20.8 %","42.4 %","36.8 %","12.4 %","13.1 %","52","3.47","829","1405","2234","40.9 %","35.2 %","23.8 %","16.4 %","45.7 %","38.0 %","5702"
"Kenta Maeda","Dodgers",".309","1.15","24.7 %","40.3 %","35.0 %","6.1 %","11.1 %","51","4.26","599","1164","1763","43.3 %","32.9 %","23.9 %","16.6 %","43.3 %","40.1 %","18498"
"Anthony DeSclafani","Reds",".294","1.15","22.4 %","41.5 %","36.1 %","7.4 %","19.8 %","73","5.71","623","1169","1792","42.2 %","34.0 %","23.8 %","14.5 %","43.6 %","41.9 %","13050"
"Jack Flaherty","Cardinals",".257","1.14","21.2 %","42.1 %","36.8 %","14.4 %","15.2 %","74","4.41","961","1626","2587","43.5 %","33.6 %","22.9 %","19.3 %","44.6 %","36.1 %","17479"
"Jakob Junis","Royals",".298","1.13","20.9 %","42.0 %","37.1 %","9.6 %","16.2 %","83","4.22","1001","1837","2838","41.2 %","33.8 %","25.0 %","16.4 %","42.5 %","41.0 %","13619"
"Mike Foltynewicz","Braves",".251","1.12","18.5 %","43.1 %","38.4 %","12.4 %","9.6 %","106","5.21","1125","1916","3041","40.9 %","33.2 %","25.9 %","18.4 %","46.5 %","35.1 %","10811"
"Andrew Cashner","Orioles",".311","1.11","23.4 %","40.4 %","36.2 %","9.2 %","13.6 %","53","3.12","1037","1612","2649","40.3 %","33.7 %","26.1 %","17.5 %","50.0 %","32.5 %","8782"
"Trevor Williams","Pirates",".261","1.09","21.7 %","40.8 %","37.5 %","9.0 %","8.0 %","78","4.11","991","1732","2723","37.2 %","34.9 %","27.9 %","20.4 %","50.4 %","29.3 %","16977"
"Tanner Roark","Reds",".295","1.08","21.6 %","40.8 %","37.6 %","10.8 %","11.3 %","102","5.10","1094","1854","2948","37.9 %","34.3 %","27.8 %","20.2 %","51.4 %","28.5 %","8753"
"Jose Berrios","Twins",".270","1.08","20.1 %","41.5 %","38.4 %","9.2 %","12.8 %","98","4.59","1096","1972","3068","41.5 %","31.9 %","26.7 %","19.8 %","46.1 %","34.2 %","14168"
"Zach Eflin","Phillies",".309","1.08","20.6 %","41.2 %","38.2 %","10.5 %","11.2 %","87","6.12","693","1347","2040","36.6 %","36.6 %","26.8 %","20.5 %","50.4 %","29.1 %","13774"
"Eric Lauer","Padres",".332","1.08","27.5 %","37.6 %","34.9 %","10.2 %","12.7 %","50","4.02","744","1282","2026","34.9 %","33.5 %","31.5 %","16.8 %","43.5 %","39.8 %","19316"
"Tyler Mahle","Reds",".323","1.07","25.0 %","38.7 %","36.3 %","9.2 %","18.5 %","44","3.54","735","1336","2071","38.5 %","29.7 %","31.8 %","13.2 %","45.3 %","41.5 %","16358"
"Dereck Rodriguez","Giants",".257","1.07","23.2 %","39.6 %","37.2 %","11.5 %","7.4 %","55","4.42","632","1120","1752","37.5 %","35.7 %","26.8 %","12.5 %","47.9 %","39.6 %","14509"
"Jon Lester","Cubs",".290","1.04","25.8 %","37.7 %","36.4 %","8.8 %","12.4 %","124","6.14","1201","1920","3121","42.8 %","36.5 %","20.7 %","18.5 %","49.6 %","31.9 %","4930"
"Mike Clevinger","Indians",".280","1.03","20.2 %","40.5 %","39.3 %","11.2 %","10.2 %","129","5.81","1168","2097","3265","36.7 %","35.2 %","28.1 %","18.8 %","46.3 %","34.8 %","12808"
"David Price","Red Sox",".274","1.02","20.6 %","40.1 %","39.3 %","13.2 %","13.2 %","102","5.22","940","1776","2716","40.4 %","35.3 %","24.3 %","19.4 %","48.5 %","32.2 %","3184"
"Robbie Ray","Diamondbacks",".292","1.02","22.3 %","39.2 %","38.5 %","11.9 %","17.4 %","81","5.89","876","1411","2287","40.2 %","33.6 %","26.2 %","14.7 %","40.9 %","44.4 %","11486"
"Jason Vargas","Mets",".307","1.00","21.2 %","39.4 %","39.4 %","9.3 %","16.7 %","45","4.40","576","977","1553","47.0 %","35.8 %","17.2 %","15.1 %","50.2 %","34.7 %","8044"
"Eduardo Rodriguez","Red Sox",".302","0.98","20.1 %","39.5 %","40.4 %","5.8 %","10.9 %","82","5.98","825","1390","2215","36.2 %","38.8 %","25.1 %","19.8 %","53.4 %","26.8 %","13164"
"Rich Hill","Dodgers",".269","0.98","21.0 %","39.1 %","39.9 %","15.6 %","14.8 %","94","6.43","657","1421","2078","42.4 %","32.6 %","25.1 %","20.2 %","37.2 %","42.7 %","4806"
"Chad Kuhl","Pirates",".311","0.97","26.3 %","36.2 %","37.4 %","8.8 %","15.4 %","54","5.72","566","869","1435","36.9 %","36.1 %","27.1 %","17.3 %","45.9 %","36.9 %","14975"
"Carlos Rodon","White Sox",".242","0.97","15.6 %","41.5 %","42.9 %","10.6 %","9.9 %","57","4.25","788","1178","1966","42.5 %","33.7 %","23.8 %","15.9 %","53.3 %","30.9 %","16137"
"James Paxton","Yankees",".299","0.96","19.3 %","39.6 %","41.1 %","9.4 %","14.4 %","83","4.66","837","1766","2603","36.8 %","34.3 %","28.9 %","16.5 %","49.5 %","34.0 %","11828"
"J.A. Happ","Yankees",".272","0.95","17.4 %","40.1 %","42.4 %","14.4 %","13.4 %","123","6.23","1086","1965","3051","37.4 %","34.2 %","28.4 %","20.5 %","48.6 %","30.9 %","7410"
"Tyler Anderson","Rockies",".281","0.93","24.0 %","36.7 %","39.3 %","11.1 %","15.2 %","95","4.86","983","1870","2853","43.1 %","34.3 %","22.7 %","20.9 %","45.6 %","33.5 %","12880"
"Mike Fiers","Athletics",".265","0.93","17.0 %","39.9 %","43.1 %","10.9 %","13.6 %","88","4.70","916","1714","2630","44.0 %","34.1 %","21.9 %","15.3 %","46.3 %","38.4 %","7754"
"Vince Velasquez","Phillies",".316","0.92","21.4 %","37.8 %","40.9 %","11.5 %","10.2 %","70","4.32","867","1584","2451","38.6 %","34.8 %","26.6 %","15.5 %","51.6 %","32.8 %","11189"
"Trevor Richards","Marlins",".309","0.92","25.3 %","35.8 %","38.9 %","5.1 %","10.9 %","52","3.70","839","1393","2232","42.5 %","34.6 %","22.9 %","13.7 %","48.0 %","38.3 %","19309"
