"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Robinson Chirinos","Astros",".298","0.87","13.6 %","40.2 %","46.2 %","15.3 %","20.0 %","3","4.1 %","0","0.0 %","52.7 %","25.3 %","22.0 %","16.7 %","47.9 %","35.5 %","3142"
"Michael A. Taylor","Nationals",".363","1.17","20.5 %","42.9 %","36.7 %","8.4 %","20.0 %","15","13.5 %","3","50.0 %","46.8 %","31.7 %","21.5 %","18.1 %","47.9 %","34.0 %","11489"
"Nick Williams","Phillies",".375","1.82","23.2 %","49.5 %","27.3 %","1.7 %","20.0 %","11","10.1 %","0","0.0 %","31.8 %","42.7 %","25.5 %","15.5 %","50.9 %","33.6 %","14330"
"Freddie Freeman","Braves",".335","0.86","24.5 %","34.9 %","40.6 %","0.0 %","19.9 %","10","8.3 %","0","0.0 %","38.6 %","32.9 %","28.5 %","12.4 %","50.1 %","37.5 %","5361"
"Paul DeJong","Cardinals",".349","0.79","23.5 %","33.7 %","42.9 %","13.5 %","19.8 %","7","7.1 %","0","0.0 %","46.9 %","32.7 %","20.4 %","21.4 %","42.2 %","36.4 %","18015"
"Trey Mancini","Orioles",".352","1.72","19.4 %","51.0 %","29.7 %","7.4 %","19.8 %","21","10.1 %","0","0.0 %","37.5 %","35.3 %","27.2 %","19.6 %","46.3 %","34.1 %","15149"
"Kendrys Morales","Athletics",".278","1.46","18.5 %","48.4 %","33.2 %","5.6 %","19.7 %","4","1.9 %","0","0.0 %","41.8 %","32.0 %","26.2 %","15.2 %","47.0 %","37.9 %","8610"
"Justin Smoak","Blue Jays",".285","0.77","21.2 %","34.3 %","44.5 %","7.3 %","19.7 %","3","2.0 %","0","0.0 %","40.8 %","35.3 %","24.0 %","13.1 %","47.5 %","39.4 %","9054"
"Joey Votto","Reds",".321","1.03","23.0 %","39.0 %","38.0 %","0.5 %","19.7 %","5","2.7 %","0","0.0 %","38.6 %","31.1 %","30.3 %","10.4 %","53.3 %","36.3 %","4314"
"Javier Baez","Cubs",".345","1.35","15.4 %","48.6 %","36.0 %","9.4 %","19.7 %","14","8.9 %","2","25.0 %","39.9 %","38.1 %","21.9 %","21.3 %","46.3 %","32.4 %","12979"
