Date,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"2019-05-01","Gary Sanchez","NYY",4,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.3333,0.3333,0.3333,0,0.3333,0.6667,11442
"2019-05-01","Ben Zobrist","CHC",4,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0,7435
"2019-05-01","Christian Walker","ARI",3,1,0.5,0.5,0,0,0,0,0,1,0,0,0,1,0,13419
"2019-05-01","Dee Gordon","SEA",3,2,0.333333333,0.666666666,0,0,0,0,0,0.3333,0,0.6667,0.6667,0.3333,0,8203
"2019-05-01","Luke Voit","NYY",4,2,0,0.666666666,0.333333333,0,1,0,0,1,0,0,0.3333,0.3333,0.3333,14811
"2019-05-01","Domingo Santana","SEA",4,3,0,1,0,0,0,0,0,0.6667,0.3333,0,0.3333,0.6667,0,10348
"2019-05-01","Mike Ford","NYY",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15585
"2019-05-01","Taylor Davis","CHC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12782
"2019-05-01","Masahiro Tanaka","NYY",1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,15764
"2019-05-01","Caleb Joseph","ARI",3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,7087
"2019-05-01","Gleyber Torres","NYY",4,3,0,0.75,0.25,0,0,0,0,0.5,0.5,0,0,0.5,0.5,16997
"2019-05-01","Giovanny Urshela","NYY",4,1,0.5,0.25,0.25,0,0,0,0,0,0.75,0.25,0,0.5,0.5,10681
"2019-05-01","Anthony Rizzo","CHC",4,0.5,0.25,0.25,0.5,0,0.5,0,0,0.5,0.25,0.25,0.25,0.25,0.5,3473
"2019-05-01","Ramon Laureano","OAK",4,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.3333,0.3333,0.3333,0,0.6667,0.3333,17128
"2019-05-01","Yasmani Grandal","MIL",5,1,0.666666666,0.333333333,0,0,0,0,0,0.6667,0.3333,0,0,0.3333,0.6667,11368
"2019-05-01","Dominic Smith","NYM",1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,15653
"2019-05-01","Pablo Sandoval","SFG",1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,5409
"2019-05-01","David Bote","CHC",5,2,0.25,0.5,0.25,0,0,0,0,0.75,0.25,0,0,0.25,0.75,14593
"2019-05-01","Vladimir Guerrero Jr.","TOR",4,1,0,0.5,0.5,0,0,0,0,1,0,0,0,0.5,0.5,19611
"2019-05-01","Starling Marte","PIT",5,3,0.2,0.6,0.2,0,0,0,0,0.2,0.4,0.4,0.2,0.4,0.4,9241
"2019-05-01","Martin Prado","MIA",4,4,0,1,0,0,0,0,0,0.5,0.25,0.25,0,0.75,0.25,3312
"2019-05-01","Marwin Gonzalez","MIN",4,2,0,1,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,5497
"2019-05-01","J.D. Martinez","BOS",4,0.333333333,0,0.25,0.75,0,0,0,0,0.5,0.25,0.25,0.25,0.25,0.5,6184
"2019-05-01","Jacob deGrom","NYM",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10954
"2019-05-01","Miles Mikolas","STL",2,2,0,1,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,9803
"2019-05-01","Jorge Soler","KCR",4,2,0.333333333,0.666666666,0,0,0,0,0,0.6667,0,0.3333,0,0.6667,0.3333,14221
"2019-05-01","Jarrod Dyson","ARI",4,2,0,1,0,0,0,0,0,1,0,0,0,1,0,4866
"2019-05-01","Caleb Smith","MIA",3,2,0,1,0,0,0,0,0,0,1,0,0,1,0,14875
"2019-05-01","Rafael Devers","BOS",4,1,0.5,0.25,0.25,1,0,0,0,0.5,0.25,0.25,0.25,0.5,0.25,17350
"2019-05-01","Travis Shaw","MIL",5,0.333333333,0,0.25,0.75,0.333333333,0,0,0,0.75,0.25,0,0.25,0.25,0.5,11982
"2019-05-01","Michael Conforto","NYM",4,1,0,1,0,0,0,0,0,1,0,0,1,0,0,16376
"2019-05-01","Gerardo Parra","SFG",1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,8553
"2019-05-01","Ryon Healy","SEA",3,0,0.5,0,0.5,0,0,0,0,0,0,1,0,1,0,15447
"2019-05-01","Yonder Alonso","CHW",4,1,0,0.5,0.5,0,0,1,0,0.5,0.5,0,0,1,0,2530
"2019-05-01","Delino DeShields","TEX",4,1,0.5,0.5,0,0,0,0,0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,11379
"2019-05-01","Curtis Granderson","MIA",4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4747
"2019-05-01","Jonathan Schoop","MIN",3,0.5,0,0.333333333,0.666666666,0,0.5,0,0,1,0,0,0.3333,0,0.6667,11265
"2019-05-01","Khris Davis","OAK",4,2,0,0.666666666,0.333333333,0,0,0,0,0.3333,0.3333,0.3333,0,0.6667,0.3333,9112
"2019-05-01","Eugenio Suarez","CIN",4,0,0.333333333,0,0.666666666,0.5,0,0,0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,12552
"2019-05-01","Marcell Ozuna","STL",5,0,0.5,0,0.5,0,0,0,0,0.5,0.25,0.25,0,0.5,0.5,10324
"2019-05-01","Ryan O'Hearn","KCR",4,0.5,0,0.333333333,0.666666666,0,0,0,0,0.3333,0,0.6667,0,1,0,16442
"2019-05-01","Austin Romine","NYY",1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,5491
"2019-05-01","Jordan Luplow","CLE",3,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0,0,1,0,16424
"2019-05-01","Shin-Soo Choo","TEX",5,0,0,0,1,0,0.5,0,0,0.5,0.5,0,0,0,1,3174
"2019-05-01","Trevor Story","COL",5,0.333333333,0,0.25,0.75,0,0.333333333,0,0,0,0.25,0.75,0.25,0.25,0.5,12564
"2019-05-01","Charlie Culberson","ATL",3,1,0,1,0,0,0,1,0,0,1,0,1,0,0,3298
"2019-05-01","Braden Bishop","SEA",3,1,0.5,0.5,0,0,0,0,0,0.5,0,0.5,1,0,0,17806
"2019-05-01","Tommy Pham","TBR",4,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.3333,0.6667,0,0,0.3333,0.6667,2967
"2019-05-01","Jonathan Villar","BAL",5,0.5,0.25,0.25,0.5,0,0,0,0,0.5,0.5,0,0.25,0.5,0.25,10071
"2019-05-01","Rougned Odor","TEX",4,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.3333,0.3333,0.3333,0,1,0,12282
"2019-05-01","Miguel Rojas","MIA",4,1,0.666666666,0.333333333,0,0,0,0,0,0,0.3333,0.6667,0,0.6667,0.3333,7802
"2019-05-01","Max Kepler","MIN",4,0.333333333,0,0.25,0.75,0,0,0,0,0.5,0.25,0.25,0.25,0.5,0.25,12144
"2019-05-01","Christian Vazquez","BOS",4,0,0,0,1,0,0.5,0,0,0.5,0.5,0,0,0.5,0.5,9774
"2019-05-01","Anthony DeSclafani","CIN",2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,13050
"2019-05-01","Adrian Sanchez","WSN",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,11338
"2019-05-01","Kelvin Gutierrez","KCR",4,1,0.333333333,0.333333333,0.333333333,0,1,0,0,0.6667,0,0.3333,0,0.3333,0.6667,17468
"2019-05-01","Eduardo Escobar","ARI",4,2,0,1,0,0,0,0,0,0.5,0,0.5,0,1,0,6153
"2019-05-01","Wilson Ramos","NYM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433
"2019-05-01","David Dahl","COL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13744
"2019-05-01","Eric Hosmer","SDP",4,3,0,1,0,0,0,0,0,0.3333,0.3333,0.3333,0.6667,0,0.3333,3516
"2019-05-01","Hunter Dozier","KCR",4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,15117
"2019-05-01","Max Scherzer","WSN",2,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0,3137
"2019-05-01","Billy Hamilton","KCR",4,3,0.25,0.75,0,0,0,0,0,0.75,0.25,0,0.5,0.25,0.25,10199
"2019-05-01","Hanser Alberto","BAL",5,3,0.25,0.75,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,11902
"2019-05-01","Josh Bell","PIT",5,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,1,13145
"2019-05-01","Rosell Herrera","MIA",4,1,0.5,0.25,0.25,1,0,0,0,0.75,0,0.25,0.25,0,0.75,11611
"2019-05-01","C.J. Cron","MIN",4,0.333333333,0,0.25,0.75,0.333333333,0,0,0,0,0.5,0.5,0.25,0.75,0,12546
"2019-05-01","Jackie Bradley Jr.","BOS",4,1,0.5,0.5,0,0,0,0,0,1,0,0,0,1,0,12984
"2019-05-01","Jose Peraza","CIN",3,0.5,0,0.333333333,0.666666666,0,0,0,0,0,0,1,0.3333,0.6667,0,13593
"2019-05-01","Kolten Wong","STL",4,0,0,0,1,0,0,0,0,1,0,0,0,0.5,0.5,12532
"2019-05-01","Brandon Lowe","TBR",4,0,0,0,1,0,0,0,0,0.5,0.5,0,0,0.5,0.5,18882
"2019-05-01","Melky Cabrera","PIT",4,2,0.333333333,0.666666666,0,0,0,0,0,0.3333,0.3333,0.3333,0,0.3333,0.6667,4022
"2019-05-01","Victor Reyes","DET",1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,15487
"2019-05-01","Ryan McMahon","COL",5,2,0,1,0,0,0,0,0,1,0,0,0,0.5,0.5,15112
"2019-05-01","Ender Inciarte","ATL",3,2,0,0.666666666,0.333333333,0,0,0,0,0.6667,0,0.3333,0,0.6667,0.3333,4922
"2019-05-01","Yandy Diaz","TBR",4,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0.25,0.25,16578
