Date,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"2019-05-01","Yadier Molina","STL",4,3,0,0.75,0.25,0,0,0,0,0.75,0.25,0,0.25,0.5,0.25,7007
"2019-05-01","Whit Merrifield","KCR",5,2,0.4,0.4,0.2,0,0,0,0,0.6,0,0.4,0.2,0.4,0.4,11281
"2019-05-01","Nicky Delmonico","CHW",3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,13157
"2019-05-01","Nomar Mazara","TEX",4,4,0,1,0,0,0,0,0,0.5,0.25,0.25,0.75,0,0.25,14553
"2019-05-01","Jon Berti","MIA",4,2,0.333333333,0.666666666,0,0,0,0,0,0,0.6667,0.3333,0,0.3333,0.6667,12037
"2019-05-01","Jorge Polanco","MIN",4,3,0.25,0.75,0,0,0,0.333333333,0,0.75,0,0.25,0.25,0.25,0.5,13152
"2019-05-01","Mookie Betts","BOS",5,0.5,0,0.333333333,0.666666666,0.5,0,0,0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,13611
"2019-05-01","Yasiel Puig","CIN",4,1,0.5,0.5,0,0,0,0,0,1,0,0,0,0.5,0.5,14225
"2019-05-01","Russell Martin","LAD",4,1,0,1,0,0,0,0,0,1,0,0,1,0,0,4616
"2019-05-01","Tom Murphy","SEA",3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13499
"2019-05-01","Billy McKinney","TOR",4,0.5,0,0.333333333,0.666666666,0,0,0,0,0,0.3333,0.6667,0.3333,0.6667,0,15654
"2019-05-01","JB Shuck","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6677
"2019-05-01","Rhys Hoskins","PHI",4,0,0.5,0,0.5,0,1,0,0,0.5,0.5,0,0,0.5,0.5,16472
"2019-05-01","Antonio Senzatela","COL",2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,15488
"2019-05-01","Brandon Lowe","TBR",4,0,0.666666666,0,0.333333333,0,0,0,0,0.6667,0.3333,0,0,0.3333,0.6667,18882
"2019-05-01","Joey Votto","CIN",4,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0.6667,0.3333,0,0.3333,0.6667,4314
"2019-05-01","Matt Carpenter","STL",5,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.6667,0.3333,0,0,0.6667,0.3333,8090
"2019-05-01","Mike Zunino","TBR",4,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0.75,0.25,13265
"2019-05-01","Colin Moran","PIT",4,0.5,0,0.333333333,0.666666666,0,0,0,0,0.3333,0,0.6667,0.3333,0.6667,0,16909
"2019-05-01","Francisco Lindor","CLE",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12916
"2019-05-01","Chad Pinder","OAK",4,0,0.666666666,0,0.333333333,0,0,0,0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,15191
"2019-05-01","Nolan Arenado","COL",5,0,0.333333333,0,0.666666666,0,1,0,0,0,1,0,0,0,1,9777
"2019-05-01","Jeff McNeil","NYM",4,0.333333333,0,0.25,0.75,0,0,0,0,0.5,0.5,0,0.5,0.25,0.25,15362
"2019-05-01","Brandon Crawford","SFG",3,1,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,1,0,5343
"2019-05-01","Daniel Vogelbach","SEA",3,0,0,0,1,0,0,0,0,0.3333,0.3333,0.3333,0,1,0,14130
"2019-05-01","Danny Jansen","TOR",4,2,0.5,0.5,0,0,0,0.5,0,0.75,0.25,0,0,0.25,0.75,16535
"2019-05-01","Hunter Pence","TEX",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8252
"2019-05-01","Corey Kluber","CLE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429
"2019-05-01","Josh Reddick","HOU",1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3892
"2019-05-01","Mitch Moreland","BOS",4,0,0,0,1,0,0.333333333,0,0,0,0,1,0,0.6667,0.3333,3086
"2019-05-01","Jose Iglesias","CIN",4,2,0,0.666666666,0.333333333,0,1,0,0,1,0,0,0,0.6667,0.3333,10231
"2019-05-01","Matt Adams","WSN",4,1,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0,1,0,9393
"2019-05-01","Adalberto Mondesi","KCR",4,0,0.666666666,0,0.333333333,0,0,0,0,0.3333,0.6667,0,0,0.3333,0.6667,13769
"2019-05-01","Bryan Reynolds","PIT",4,0.5,0,0.333333333,0.666666666,0,0,0,0,0.3333,0,0.6667,0,0.3333,0.6667,19326
"2019-05-01","Jose Ramirez","CLE",4,0.5,0.25,0.25,0.5,0,0,0,0,0.5,0.25,0.25,0,0.25,0.75,13510
"2019-05-01","Paul DeJong","STL",5,1,0,0.5,0.5,0,0,0,0,0,0.75,0.25,0,0.5,0.5,18015
"2019-05-01","Tyler White","HOU",4,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,15564
"2019-05-01","Ryan Braun","MIL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3410
"2019-05-01","Brandon Drury","TOR",4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,11615
"2019-05-01","J.T. Realmuto","PHI",4,1,0.666666666,0.333333333,0,0,0,0,0,0.3333,0.3333,0.3333,0,0.3333,0.6667,11739
"2019-05-01","Jose Rondon","CHW",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14140
"2019-05-01","Manny Machado","SDP",4,0,0.5,0,0.5,0,1,0,0,0,1,0,0,0,1,11493
"2019-05-01","Cody Bellinger","LAD",4,2,0,0.666666666,0.333333333,0,0,0.5,0,0.3333,0.6667,0,0.6667,0.3333,0,15998
"2019-05-01","Victor Robles","WSN",4,0,1,0,0,0,0,0,0,0.5,0.5,0,0,1,0,18363
"2019-05-01","Alex Bregman","HOU",4,0,0.25,0,0.75,0,0,0,0,0.25,0.75,0,0,0.25,0.75,17678
"2019-05-01","Eric Thames","MIL",5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3711
"2019-05-01","Brian Goodwin","LAA",5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12858
"2019-05-01","Niko Goodrum","DET",5,1,0.2,0.4,0.4,0,0,0.5,0,0.4,0.4,0.2,0.4,0.6,0,12092
"2019-05-01","Anthony Santander","BAL",4,0,0,0,1,0,1,0,0,1,0,0,0,0,1,14551
"2019-05-01","Franmil Reyes","SDP",4,3,0.25,0.75,0,0,0,0,0,0.25,0.5,0.25,0.25,0.5,0.25,14566
"2019-05-01","Steven Duggar","SFG",4,3,0.25,0.75,0,0,0,0,0,0.25,0.5,0.25,0.25,0.25,0.5,17719
"2019-05-01","Miguel Cabrera","DET",5,0.5,0,0.333333333,0.666666666,0,0,0,0,0,0.6667,0.3333,0,0.6667,0.3333,1744
"2019-05-01","Yonder Alonso","CHW",5,0,0.333333333,0,0.666666666,0,0,0,0,0.3333,0,0.6667,0.6667,0,0.3333,2530
"2019-05-01","Mike Moustakas","MIL",5,0,0,0,1,0.25,0.25,0,0,0.5,0.25,0.25,0.25,0.5,0.25,4892
"2019-05-01","Evan Longoria","SFG",3,0,0,0,1,0,0,0,0,0.3333,0.3333,0.3333,0,0.3333,0.6667,9368
"2019-05-01","John Hicks","DET",4,2,0.333333333,0.666666666,0,0,0,0,0,1,0,0,0.6667,0,0.3333,12547
"2019-05-01","Tim Anderson","CHW",4,1,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,15172
"2019-05-01","Hunter Renfroe","SDP",4,0,0,0,1,0,0,0,0,0.3333,0.6667,0,0,0.6667,0.3333,15464
"2019-05-01","Freddy Galvis","TOR",5,0,0,0,1,0,0,0,0,0.6667,0,0.3333,0,0.3333,0.6667,6609
"2019-05-01","Jordy Mercer","DET",4,0,0,0,1,0,0.5,0,0,0.5,0,0.5,0.5,0,0.5,6547
"2019-05-01","Leury Garcia","CHW",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5913
"2019-05-01","Ian Desmond","COL",5,3,0,1,0,0,0,0,0,0,0.6667,0.3333,0,0.6667,0.3333,6885
"2019-05-01","Enrique Hernandez","LAD",4,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0.5,0.5,10472
"2019-05-01","Jeimer Candelario","DET",5,1,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,13621
"2019-05-01","Austin Wynns","BAL",4,0.5,0,0.333333333,0.666666666,0,0,0,0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,15271
"2019-05-01","Ozzie Albies","ATL",4,0.5,0.25,0.25,0.5,0,0,0,0,0.25,0.5,0.25,0,0.25,0.75,16556
"2019-05-01","Justin Smoak","TOR",4,3,0.25,0.75,0,0,0,0,0,0.25,0.75,0,0.25,0.25,0.5,9054
"2019-05-01","Andrew McCutchen","PHI",5,2,0.25,0.5,0.25,0,0,0,0,0.25,0.75,0,0,1,0,9847
"2019-05-01","Jonathan Villar","BAL",5,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0.6667,0.3333,0.3333,0.3333,0.3333,10071
"2019-05-01","Charlie Blackmon","COL",5,1,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,1,0,7859
"2019-05-01","Austin Barnes","LAD",1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,12158
"2019-05-01","Harold Castro","DET",1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,14691
"2019-05-01","Steve Wilkerson","BAL",4,1,0.333333333,0.333333333,0.333333333,0,1,0,0,0.3333,0.3333,0.3333,0.3333,0,0.6667,16041
"2019-05-01","Dansby Swanson","ATL",4,0,0.25,0,0.75,0.333333333,0.333333333,0,0,0.5,0,0.5,0.25,0,0.75,18314
"2019-05-01","Mike Trout","LAA",5,1,0,0.5,0.5,0,0,0,0,0.75,0,0.25,0.25,0.25,0.5,10155
"2019-05-01","Phil Gosselin","PHI",1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,10953
"2019-05-01","Nicky Delmonico","CHW",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13157
"2019-05-01","Nick Markakis","ATL",4,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.6667,0,0.3333,0,0.6667,0.3333,5930
"2019-05-01","Max Muncy","LAD",4,2,0,1,0,0,0,0.5,0,1,0,0,0.5,0,0.5,13301
"2019-05-01","Tyler O'Neill","STL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15711
"2019-05-01","Carlos Correa","HOU",4,2,0.333333333,0.666666666,0,0,0,0,0,0.6667,0.3333,0,0.3333,0.3333,0.3333,14162
"2019-05-01","Cal Quantrill","SDP",2,1,0,1,0,0,0,1,0,0,0,1,0.5,0.5,0,19312
"2019-05-01","Andrelton Simmons","LAA",5,4,0,0.8,0.2,1,0,0,0,0.4,0.2,0.4,0.4,0,0.6,10847
"2019-05-01","Bryce Harper","PHI",4,0.333333333,0,0.25,0.75,0,0,0,0,0.25,0.5,0.25,0,0.5,0.5,11579
"2019-05-01","Dwight Smith Jr.","BAL",5,1,0.75,0.25,0,0,0,1,0,0,0.75,0.25,0.5,0.5,0,13473
"2019-05-01","Wil Myers","SDP",4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,10047
"2019-05-01","Chris Taylor","LAD",4,0.5,0,0.333333333,0.666666666,0,0,0,0,0.3333,0,0.6667,0,1,0,13757
"2019-05-01","Ji-Man Choi","TBR",4,0.5,0,0.333333333,0.666666666,0,0,0,0,0.6667,0.3333,0,0,1,0,5452
"2019-05-01","Renato Nunez","BAL",5,2,0.5,0.5,0,0,0,0,0,0.75,0,0.25,0.25,0.5,0.25,14503
"2019-05-01","Martin Maldonado","KCR",3,1,0.5,0.5,0,0,0,0,0,1,0,0,0,0.5,0.5,6887
"2019-05-01","Adam Engel","CHW",1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,15082
"2019-05-01","Billy Hamilton","KCR",3,0,0,0,1,0.5,0,0,0,0.5,0.5,0,0.5,0.5,0,10199
"2019-05-01","Tim Anderson","CHW",4,1,0,0.5,0.5,0.5,0,0,0,0,0.25,0.75,1,0,0,15172
"2019-05-01","Whit Merrifield","KCR",4,0,0.333333333,0,0.666666666,0,0,0,0,0,0.6667,0.3333,0,0.3333,0.6667,11281
"2019-05-01","Jose Abreu","CHW",5,2,0.333333333,0.666666666,0,0,0,0,0,0.6667,0,0.3333,0,0.6667,0.3333,15676
"2019-05-01","Mike Zunino","TBR",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13265
"2019-05-01","Yoan Moncada","CHW",5,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.3333,0.6667,0,0.3333,0.3333,0.3333,17232
"2019-05-01","Adalberto Mondesi","KCR",4,2,0,0.666666666,0.333333333,0,1,0,0,1,0,0,0.3333,0.3333,0.3333,13769
"2019-05-01","Tommy Pham","TBR",4,0.5,0.25,0.25,0.5,0.5,0,0,0,0.25,0,0.75,0.25,0.5,0.25,2967
"2019-05-01","Joey Rickard","BAL",5,1,0,0.5,0.5,0,0,1,0,0.5,0,0.5,0.5,0.5,0,13277
"2019-05-01","Jason Heyward","CHC",4,0.333333333,0,0.25,0.75,0.333333333,0,0,0,0,0.5,0.5,0.5,0.25,0.25,4940
"2019-05-01","Nick Ahmed","ARI",3,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,12147
"2019-05-01","Tim Beckham","SEA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7949
"2019-05-01","Ketel Marte","ARI",3,0,0.5,0,0.5,0,1,0,0,0.5,0,0.5,0,0,1,13613
"2019-05-01","Daniel Descalso","CHC",2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,8392
"2019-05-01","Mike Tauchman","NYY",4,1,0,1,0,0,0,0,0,0,0,1,0,0,1,15274
"2019-05-01","Willson Contreras","CHC",5,0.5,0,0.333333333,0.666666666,0,0.5,0,0,0.6667,0,0.3333,0,0.3333,0.6667,11609
"2019-05-01","Tyler Wade","NYY",4,4,0,1,0,0,0,0,0,0.75,0.25,0,0,1,0,15730
"2019-05-01","Javier Baez","CHC",5,0.5,0.25,0.25,0.5,0,0.5,1,0,0.25,0.25,0.5,0,0,1,12979
"2019-05-01","Thairo Estrada","NYY",1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,16426
"2019-05-01","Brett Gardner","NYY",5,1.5,0,0.6,0.4,0,0,0,0,0.4,0.4,0.2,0.2,0.6,0.2,9927
"2019-05-01","Edwin Encarnacion","SEA",4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2151
"2019-05-01","Merrill Kelly","ARI",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11156
"2019-05-01","Elvis Andrus","TEX",4,2,0,0.666666666,0.333333333,1,0,0,0,0.6667,0,0.3333,0.3333,0.6667,0,8709
"2019-05-01","Roberto Perez","CLE",3,1,0,0.5,0.5,0,1,0,0,0.5,0.5,0,0,0.5,0.5,2900
"2019-05-01","Jose Altuve","HOU",4,2,0.25,0.5,0.25,0,0,0,0,1,0,0,0,0.5,0.5,5417
"2019-05-01","Robbie Grossman","OAK",4,1,0.5,0.25,0.25,0,0,0,0,0.5,0,0.5,0.25,0.75,0,5254
"2019-05-01","Derek Dietrich","CIN",3,1,0,0.5,0.5,0,0,0,0,0,0.5,0.5,1,0,0,10542
"2019-05-01","Yan Gomes","WSN",4,2,0.25,0.5,0.25,0,0,0,0,0.5,0.25,0.25,0.25,0.5,0.25,9627
"2019-05-01","Daniel Robertson","TBR",4,1,0.333333333,0.333333333,0.333333333,0,1,0,0,0.6667,0,0.3333,0,0.3333,0.6667,14145
"2019-05-01","David Peralta","ARI",4,2,0.25,0.5,0.25,0,0,0.5,0,0.25,0.5,0.25,0.25,0.25,0.5,2136
"2019-05-01","Max Moroff","CLE",1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,14556
"2019-05-01","Michael Chavis","BOS",4,1,0,1,0,0,0,1,0,0,1,0,0,1,0,17321
"2019-05-01","Tony Wolters","COL",2,1,0,0.5,0.5,0,0,0,0,0,1,0,0,0,1,11470
"2019-05-01","J.D. Davis","NYM",4,0,0.5,0,0.5,0,0,0,0,0,0,1,0,1,0,16219
"2019-05-01","Madison Bumgarner","SFG",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5524
"2019-05-01","Kris Bryant","CHC",3,0,0,0,1,1,0,0,0,0,0,1,1,0,0,15429
"2019-05-01","Danny Santana","TEX",4,0,1,0,0,0,1,0,0,1,0,0,0,0,1,10322
"2019-05-01","Starlin Castro","MIA",4,1,0,0.5,0.5,0.5,0,0,0,0.25,0.25,0.5,0.5,0.25,0.25,4579
"2019-05-01","Max Stassi","HOU",3,1,0,0.5,0.5,0,0,0,0,1,0,0,0,0.5,0.5,10059
"2019-05-01","Kendrys Morales","OAK",4,2,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,8610
"2019-05-01","Scott Schebler","CIN",2,1,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,12225
"2019-05-01","Brian Dozier","WSN",1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,9810
"2019-05-01","Hunter Dozier","KCR",4,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,1,0,15117
"2019-05-01","Cameron Maybin","NYY",4,0,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0,5223
"2019-05-01","Jake Bauers","CLE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15194
"2019-05-01","Andrew Benintendi","BOS",5,0.333333333,0,0.25,0.75,0,0,0,0,0.2,0.6,0.2,0,0.8,0.2,17901
"2019-05-01","Ben Gamel","MIL",4,3,0.25,0.75,0,0,0,0,0,0.25,0.75,0,0.25,0.5,0.25,12160
